State,Offense_Category,Volume
Alabama,Assault,4214
Alabama,Homicide,24
Alabama,Human Trafficking,0
Alabama,Kidnapping_Abduction,52
Alabama,Sex,94
Alabama,Arson,34
Alabama,Bribery,0
Alabama,Burglary/Breaking & Entering,910
Alabama,Counterfeiting/Forgery,186
Alabama,Destruction/Damage/Vandalism ,1375
Alabama,Embezzlement,40
Alabama,Extortion/Blackmail,13
Alabama,Fraud,820
Alabama,Larceny/Theft,3840
Alabama,Motor Vehicle Theft,541
Alabama,Robbery,66
Alabama,Stolen Property,156
Alabama,Animal Cruelty,43
Alabama,Drug/Narcotic,2903
Alabama,Gambling,1
Alabama,Pornography/Obscene Material,11
Alabama,Prostitution,0
Alabama,Weapon Law Violations,277
Arizona,Assault,16756
Arizona,Homicide,86
Arizona,Human Trafficking,5
Arizona,Kidnapping_Abduction,302
Arizona,Sex,1291
Arizona,Arson,186
Arizona,Bribery,1
Arizona,Burglary/Breaking & Entering,4404
Arizona,Counterfeiting/Forgery,567
Arizona,Destruction/Damage/Vandalism ,8390
Arizona,Embezzlement,147
Arizona,Extortion/Blackmail,113
Arizona,Fraud,6778
Arizona,Larceny/Theft,23063
Arizona,Motor Vehicle Theft,2611
Arizona,Robbery,720
Arizona,Stolen Property,304
Arizona,Animal Cruelty,182
Arizona,Drug/Narcotic,16530
Arizona,Gambling,0
Arizona,Pornography/Obscene Material,232
Arizona,Prostitution,39
Arizona,Weapon Law Violations,1256
Arkansas,Assault,60103
Arkansas,Homicide,340
Arkansas,Human Trafficking,2
Arkansas,Kidnapping_Abduction,685
Arkansas,Sex,2763
Arkansas,Arson,556
Arkansas,Bribery,1
Arkansas,Burglary/Breaking & Entering,14994
Arkansas,Counterfeiting/Forgery,3868
Arkansas,Destruction/Damage/Vandalism ,26063
Arkansas,Embezzlement,77
Arkansas,Extortion/Blackmail,47
Arkansas,Fraud,23636
Arkansas,Larceny/Theft,54991
Arkansas,Motor Vehicle Theft,7355
Arkansas,Robbery,1440
Arkansas,Stolen Property,2481
Arkansas,Animal Cruelty,11
Arkansas,Drug/Narcotic,31860
Arkansas,Gambling,17
Arkansas,Pornography/Obscene Material,390
Arkansas,Prostitution,48
Arkansas,Weapon Law Violations,3394
Colorado,Assault,55631
Colorado,Homicide,350
Colorado,Human Trafficking,30
Colorado,Kidnapping_Abduction,2403
Colorado,Sex,5807
Colorado,Arson,1329
Colorado,Bribery,156
Colorado,Burglary/Breaking & Entering,22539
Colorado,Counterfeiting/Forgery,3910
Colorado,Destruction/Damage/Vandalism ,48987
Colorado,Embezzlement,313
Colorado,Extortion/Blackmail,751
Colorado,Fraud,29769
Colorado,Larceny/Theft,112828
Colorado,Motor Vehicle Theft,30179
Colorado,Robbery,3958
Colorado,Stolen Property,2904
Colorado,Animal Cruelty,759
Colorado,Drug/Narcotic,22217
Colorado,Gambling,5
Colorado,Pornography/Obscene Material,874
Colorado,Prostitution,224
Colorado,Weapon Law Violations,7203
Connecticut,Assault,25994
Connecticut,Homicide,134
Connecticut,Human Trafficking,10
Connecticut,Kidnapping_Abduction,249
Connecticut,Sex,1446
Connecticut,Arson,159
Connecticut,Bribery,3
Connecticut,Burglary/Breaking & Entering,5897
Connecticut,Counterfeiting/Forgery,1356
Connecticut,Destruction/Damage/Vandalism ,14435
Connecticut,Embezzlement,214
Connecticut,Extortion/Blackmail,164
Connecticut,Fraud,8575
Connecticut,Larceny/Theft,37125
Connecticut,Motor Vehicle Theft,7295
Connecticut,Robbery,1695
Connecticut,Stolen Property,1279
Connecticut,Animal Cruelty,85
Connecticut,Drug/Narcotic,8060
Connecticut,Gambling,16
Connecticut,Pornography/Obscene Material,208
Connecticut,Prostitution,39
Connecticut,Weapon Law Violations,2372
Delaware,Assault,15255
Delaware,Homicide,87
Delaware,Human Trafficking,6
Delaware,Kidnapping_Abduction,215
Delaware,Sex,591
Delaware,Arson,138
Delaware,Bribery,1
Delaware,Burglary/Breaking & Entering,2572
Delaware,Counterfeiting/Forgery,427
Delaware,Destruction/Damage/Vandalism ,9085
Delaware,Embezzlement,150
Delaware,Extortion/Blackmail,74
Delaware,Fraud,6090
Delaware,Larceny/Theft,15849
Delaware,Motor Vehicle Theft,1597
Delaware,Robbery,705
Delaware,Stolen Property,556
Delaware,Animal Cruelty,1154
Delaware,Drug/Narcotic,9431
Delaware,Gambling,31
Delaware,Pornography/Obscene Material,104
Delaware,Prostitution,41
Delaware,Weapon Law Violations,2173
District of Columbia,Assault,994
District of Columbia,Homicide,3
District of Columbia,Human Trafficking,0
District of Columbia,Kidnapping_Abduction,3
District of Columbia,Sex,62
District of Columbia,Arson,2
District of Columbia,Bribery,0
District of Columbia,Burglary/Breaking & Entering,1
District of Columbia,Counterfeiting/Forgery,4
District of Columbia,Destruction/Damage/Vandalism ,428
District of Columbia,Embezzlement,0
District of Columbia,Extortion/Blackmail,0
District of Columbia,Fraud,9
District of Columbia,Larceny/Theft,412
District of Columbia,Motor Vehicle Theft,29
District of Columbia,Robbery,165
District of Columbia,Stolen Property,15
District of Columbia,Animal Cruelty,1
District of Columbia,Drug/Narcotic,330
District of Columbia,Gambling,0
District of Columbia,Pornography/Obscene Material,0
District of Columbia,Prostitution,0
District of Columbia,Weapon Law Violations,77
Georgia,Assault,91136
Georgia,Homicide,605
Georgia,Human Trafficking,215
Georgia,Kidnapping_Abduction,2040
Georgia,Sex,5965
Georgia,Arson,651
Georgia,Bribery,12
Georgia,Burglary/Breaking & Entering,18567
Georgia,Counterfeiting/Forgery,5526
Georgia,Destruction/Damage/Vandalism ,36394
Georgia,Embezzlement,312
Georgia,Extortion/Blackmail,251
Georgia,Fraud,27491
Georgia,Larceny/Theft,97267
Georgia,Motor Vehicle Theft,14621
Georgia,Robbery,3862
Georgia,Stolen Property,2866
Georgia,Animal Cruelty,885
Georgia,Drug/Narcotic,32004
Georgia,Gambling,32
Georgia,Pornography/Obscene Material,1153
Georgia,Prostitution,246
Georgia,Weapon Law Violations,4695
Hawaii,Assault,8358
Hawaii,Homicide,25
Hawaii,Human Trafficking,10
Hawaii,Kidnapping_Abduction,323
Hawaii,Sex,660
Hawaii,Arson,319
Hawaii,Bribery,2
Hawaii,Burglary/Breaking & Entering,3301
Hawaii,Counterfeiting/Forgery,417
Hawaii,Destruction/Damage/Vandalism ,949
Hawaii,Embezzlement,32
Hawaii,Extortion/Blackmail,134
Hawaii,Fraud,4091
Hawaii,Larceny/Theft,18238
Hawaii,Motor Vehicle Theft,3744
Hawaii,Robbery,743
Hawaii,Stolen Property,760
Hawaii,Animal Cruelty,46
Hawaii,Drug/Narcotic,2400
Hawaii,Gambling,313
Hawaii,Pornography/Obscene Material,60
Hawaii,Prostitution,40
Hawaii,Weapon Law Violations,421
Idaho,Assault,14725
Idaho,Homicide,48
Idaho,Human Trafficking,4
Idaho,Kidnapping_Abduction,241
Idaho,Sex,1954
Idaho,Arson,152
Idaho,Bribery,1
Idaho,Burglary/Breaking & Entering,3405
Idaho,Counterfeiting/Forgery,744
Idaho,Destruction/Damage/Vandalism ,6751
Idaho,Embezzlement,139
Idaho,Extortion/Blackmail,101
Idaho,Fraud,4936
Idaho,Larceny/Theft,14611
Idaho,Motor Vehicle Theft,1626
Idaho,Robbery,163
Idaho,Stolen Property,407
Idaho,Animal Cruelty,52
Idaho,Drug/Narcotic,22434
Idaho,Gambling,0
Idaho,Pornography/Obscene Material,288
Idaho,Prostitution,33
Idaho,Weapon Law Violations,897
Illinois,Assault,5350
Illinois,Homicide,33
Illinois,Human Trafficking,0
Illinois,Kidnapping_Abduction,117
Illinois,Sex,188
Illinois,Arson,61
Illinois,Bribery,0
Illinois,Burglary/Breaking & Entering,784
Illinois,Counterfeiting/Forgery,118
Illinois,Destruction/Damage/Vandalism ,3154
Illinois,Embezzlement,3
Illinois,Extortion/Blackmail,3
Illinois,Fraud,858
Illinois,Larceny/Theft,3282
Illinois,Motor Vehicle Theft,425
Illinois,Robbery,246
Illinois,Stolen Property,84
Illinois,Animal Cruelty,1
Illinois,Drug/Narcotic,557
Illinois,Gambling,0
Illinois,Pornography/Obscene Material,32
Illinois,Prostitution,6
Illinois,Weapon Law Violations,539
Indiana,Assault,49876
Indiana,Homicide,448
Indiana,Human Trafficking,39
Indiana,Kidnapping_Abduction,1275
Indiana,Sex,3665
Indiana,Arson,629
Indiana,Bribery,11
Indiana,Burglary/Breaking & Entering,11851
Indiana,Counterfeiting/Forgery,2020
Indiana,Destruction/Damage/Vandalism ,10360
Indiana,Embezzlement,352
Indiana,Extortion/Blackmail,105
Indiana,Fraud,14877
Indiana,Larceny/Theft,56932
Indiana,Motor Vehicle Theft,10860
Indiana,Robbery,3333
Indiana,Stolen Property,1257
Indiana,Animal Cruelty,437
Indiana,Drug/Narcotic,30118
Indiana,Gambling,249
Indiana,Pornography/Obscene Material,718
Indiana,Prostitution,60
Indiana,Weapon Law Violations,4832
Iowa,Assault,28466
Iowa,Homicide,124
Iowa,Human Trafficking,0
Iowa,Kidnapping_Abduction,220
Iowa,Sex,2062
Iowa,Arson,419
Iowa,Bribery,58
Iowa,Burglary/Breaking & Entering,11149
Iowa,Counterfeiting/Forgery,3159
Iowa,Destruction/Damage/Vandalism ,17982
Iowa,Embezzlement,164
Iowa,Extortion/Blackmail,136
Iowa,Fraud,7235
Iowa,Larceny/Theft,36165
Iowa,Motor Vehicle Theft,6195
Iowa,Robbery,928
Iowa,Stolen Property,714
Iowa,Animal Cruelty,0
Iowa,Drug/Narcotic,21444
Iowa,Gambling,3
Iowa,Pornography/Obscene Material,392
Iowa,Prostitution,31
Iowa,Weapon Law Violations,2436
Kansas,Assault,39051
Kansas,Homicide,95
Kansas,Human Trafficking,0
Kansas,Kidnapping_Abduction,1239
Kansas,Sex,2222
Kansas,Arson,512
Kansas,Bribery,6
Kansas,Burglary/Breaking & Entering,7818
Kansas,Counterfeiting/Forgery,2850
Kansas,Destruction/Damage/Vandalism ,25413
Kansas,Embezzlement,634
Kansas,Extortion/Blackmail,244
Kansas,Fraud,12986
Kansas,Larceny/Theft,39479
Kansas,Motor Vehicle Theft,5913
Kansas,Robbery,816
Kansas,Stolen Property,1555
Kansas,Animal Cruelty,1
Kansas,Drug/Narcotic,27134
Kansas,Gambling,6
Kansas,Pornography/Obscene Material,387
Kansas,Prostitution,76
Kansas,Weapon Law Violations,2934
Kentucky,Assault,43377
Kentucky,Homicide,366
Kentucky,Human Trafficking,19
Kentucky,Kidnapping_Abduction,1166
Kentucky,Sex,2959
Kentucky,Arson,360
Kentucky,Bribery,53
Kentucky,Burglary/Breaking & Entering,14724
Kentucky,Counterfeiting/Forgery,2458
Kentucky,Destruction/Damage/Vandalism ,21038
Kentucky,Embezzlement,1382
Kentucky,Extortion/Blackmail,81
Kentucky,Fraud,7066
Kentucky,Larceny/Theft,54885
Kentucky,Motor Vehicle Theft,11242
Kentucky,Robbery,2288
Kentucky,Stolen Property,4117
Kentucky,Animal Cruelty,178
Kentucky,Drug/Narcotic,41189
Kentucky,Gambling,13
Kentucky,Pornography/Obscene Material,573
Kentucky,Prostitution,84
Kentucky,Weapon Law Violations,2875
Louisiana,Assault,21860
Louisiana,Homicide,130
Louisiana,Human Trafficking,2
Louisiana,Kidnapping_Abduction,228
Louisiana,Sex,775
Louisiana,Arson,71
Louisiana,Bribery,1
Louisiana,Burglary/Breaking & Entering,6312
Louisiana,Counterfeiting/Forgery,759
Louisiana,Destruction/Damage/Vandalism ,9117
Louisiana,Embezzlement,196
Louisiana,Extortion/Blackmail,59
Louisiana,Fraud,1735
Louisiana,Larceny/Theft,23833
Louisiana,Motor Vehicle Theft,2594
Louisiana,Robbery,508
Louisiana,Stolen Property,879
Louisiana,Animal Cruelty,2
Louisiana,Drug/Narcotic,12399
Louisiana,Gambling,14
Louisiana,Pornography/Obscene Material,314
Louisiana,Prostitution,97
Louisiana,Weapon Law Violations,1988
Maine,Assault,7599
Maine,Homicide,20
Maine,Human Trafficking,3
Maine,Kidnapping_Abduction,21
Maine,Sex,695
Maine,Arson,170
Maine,Bribery,2
Maine,Burglary/Breaking & Entering,1179
Maine,Counterfeiting/Forgery,331
Maine,Destruction/Damage/Vandalism ,4139
Maine,Embezzlement,97
Maine,Extortion/Blackmail,39
Maine,Fraud,2529
Maine,Larceny/Theft,7636
Maine,Motor Vehicle Theft,508
Maine,Robbery,100
Maine,Stolen Property,65
Maine,Animal Cruelty,26
Maine,Drug/Narcotic,2693
Maine,Gambling,2
Maine,Pornography/Obscene Material,216
Maine,Prostitution,37
Maine,Weapon Law Violations,196
Maryland,Assault,7239
Maryland,Homicide,100
Maryland,Human Trafficking,5
Maryland,Kidnapping_Abduction,20
Maryland,Sex,812
Maryland,Arson,44
Maryland,Bribery,0
Maryland,Burglary/Breaking & Entering,2360
Maryland,Counterfeiting/Forgery,647
Maryland,Destruction/Damage/Vandalism ,8477
Maryland,Embezzlement,95
Maryland,Extortion/Blackmail,118
Maryland,Fraud,5310
Maryland,Larceny/Theft,19235
Maryland,Motor Vehicle Theft,3317
Maryland,Robbery,1280
Maryland,Stolen Property,180
Maryland,Animal Cruelty,5
Maryland,Drug/Narcotic,3099
Maryland,Gambling,1
Maryland,Pornography/Obscene Material,105
Maryland,Prostitution,28
Maryland,Weapon Law Violations,898
Massachusetts,Assault,64802
Massachusetts,Homicide,167
Massachusetts,Human Trafficking,28
Massachusetts,Kidnapping_Abduction,487
Massachusetts,Sex,3425
Massachusetts,Arson,419
Massachusetts,Bribery,12
Massachusetts,Burglary/Breaking & Entering,10299
Massachusetts,Counterfeiting/Forgery,2530
Massachusetts,Destruction/Damage/Vandalism ,29897
Massachusetts,Embezzlement,339
Massachusetts,Extortion/Blackmail,534
Massachusetts,Fraud,52246
Massachusetts,Larceny/Theft,57363
Massachusetts,Motor Vehicle Theft,6815
Massachusetts,Robbery,2999
Massachusetts,Stolen Property,1747
Massachusetts,Animal Cruelty,115
Massachusetts,Drug/Narcotic,8846
Massachusetts,Gambling,59
Massachusetts,Pornography/Obscene Material,891
Massachusetts,Prostitution,157
Massachusetts,Weapon Law Violations,3238
Michigan,Assault,143029
Michigan,Homicide,848
Michigan,Human Trafficking,49
Michigan,Kidnapping_Abduction,818
Michigan,Sex,10366
Michigan,Arson,1768
Michigan,Bribery,11
Michigan,Burglary/Breaking & Entering,22172
Michigan,Counterfeiting/Forgery,3017
Michigan,Destruction/Damage/Vandalism ,47579
Michigan,Embezzlement,1685
Michigan,Extortion/Blackmail,517
Michigan,Fraud,36400
Michigan,Larceny/Theft,93671
Michigan,Motor Vehicle Theft,18074
Michigan,Robbery,4424
Michigan,Stolen Property,4631
Michigan,Animal Cruelty,487
Michigan,Drug/Narcotic,25083
Michigan,Gambling,23
Michigan,Pornography/Obscene Material,1070
Michigan,Prostitution,508
Michigan,Weapon Law Violations,15803
Minnesota,Assault,28884
Minnesota,Homicide,188
Minnesota,Human Trafficking,50
Minnesota,Kidnapping_Abduction,464
Minnesota,Sex,3014
Minnesota,Arson,454
Minnesota,Bribery,7
Minnesota,Burglary/Breaking & Entering,11528
Minnesota,Counterfeiting/Forgery,3306
Minnesota,Destruction/Damage/Vandalism ,23618
Minnesota,Embezzlement,156
Minnesota,Extortion/Blackmail,144
Minnesota,Fraud,13812
Minnesota,Larceny/Theft,57242
Minnesota,Motor Vehicle Theft,10039
Minnesota,Robbery,2852
Minnesota,Stolen Property,2848
Minnesota,Animal Cruelty,260
Minnesota,Drug/Narcotic,17993
Minnesota,Gambling,12
Minnesota,Pornography/Obscene Material,497
Minnesota,Prostitution,22
Minnesota,Weapon Law Violations,3994
Mississippi,Assault,16016
Mississippi,Homicide,91
Mississippi,Human Trafficking,0
Mississippi,Kidnapping_Abduction,78
Mississippi,Sex,658
Mississippi,Arson,128
Mississippi,Bribery,9
Mississippi,Burglary/Breaking & Entering,4730
Mississippi,Counterfeiting/Forgery,734
Mississippi,Destruction/Damage/Vandalism ,5864
Mississippi,Embezzlement,502
Mississippi,Extortion/Blackmail,36
Mississippi,Fraud,3708
Mississippi,Larceny/Theft,18123
Mississippi,Motor Vehicle Theft,2221
Mississippi,Robbery,398
Mississippi,Stolen Property,720
Mississippi,Animal Cruelty,209
Mississippi,Drug/Narcotic,12103
Mississippi,Gambling,7
Mississippi,Pornography/Obscene Material,119
Mississippi,Prostitution,18
Mississippi,Weapon Law Violations,1425
Missouri,Assault,54524
Missouri,Homicide,402
Missouri,Human Trafficking,36
Missouri,Kidnapping_Abduction,513
Missouri,Sex,2983
Missouri,Arson,760
Missouri,Bribery,3
Missouri,Burglary/Breaking & Entering,13587
Missouri,Counterfeiting/Forgery,3390
Missouri,Destruction/Damage/Vandalism ,25966
Missouri,Embezzlement,502
Missouri,Extortion/Blackmail,71
Missouri,Fraud,12086
Missouri,Larceny/Theft,72422
Missouri,Motor Vehicle Theft,15741
Missouri,Robbery,2865
Missouri,Stolen Property,2415
Missouri,Animal Cruelty,214
Missouri,Drug/Narcotic,40198
Missouri,Gambling,29
Missouri,Pornography/Obscene Material,489
Missouri,Prostitution,106
Missouri,Weapon Law Violations,5048
Montana,Assault,11845
Montana,Homicide,61
Montana,Human Trafficking,4
Montana,Kidnapping_Abduction,272
Montana,Sex,1448
Montana,Arson,156
Montana,Bribery,2
Montana,Burglary/Breaking & Entering,2696
Montana,Counterfeiting/Forgery,1014
Montana,Destruction/Damage/Vandalism ,8163
Montana,Embezzlement,72
Montana,Extortion/Blackmail,7
Montana,Fraud,2525
Montana,Larceny/Theft,18039
Montana,Motor Vehicle Theft,2521
Montana,Robbery,272
Montana,Stolen Property,276
Montana,Animal Cruelty,100
Montana,Drug/Narcotic,7211
Montana,Gambling,0
